taxid	gcode	name	superkingdom	phylum	class	order	family	genus	species
768672	11	Desulfurococcus amylolyticus DSM 16532	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus
1104324	11	Pyrobaculum ferrireducens	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum ferrireducens
1110509	11	Methanosaeta harundinacea 6Ac	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaeta harundinacea
882090	11	Methanolinea tarda NOBI-1	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea	Methanolinea tarda
768065	11	Haloquadratum walsbyi C23	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
937775	11	Methanoplanus limicola DSM 2279	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	Methanoplanus limicola
671065	11	Metallosphaera yellowstonensis MK1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera yellowstonensis
647171	11	Methanotorris formicicus Mc-S-70	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris formicicus
1132497	11	Sulfolobus islandicus M.16.2	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132498	11	Sulfolobus islandicus M.16.12	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132499	11	Sulfolobus islandicus M.16.13	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132500	11	Sulfolobus islandicus M.16.22	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132501	11	Sulfolobus islandicus M.16.23	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132502	11	Sulfolobus islandicus M.16.30	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132503	11	Sulfolobus islandicus M.16.40	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132504	11	Sulfolobus islandicus M.16.43	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132505	11	Sulfolobus islandicus M.16.46	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
1132506	11	Sulfolobus islandicus M.16.47	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
274854	11	uncultured marine group II euryarchaeote	Archaea	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II euryarchaeote
523849	11	Thermococcus litoralis DSM 5473	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis
698757	11	Pyrobaculum oguniense TE7	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense
1041930	11	Methanocella conradii HZ254	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella conradii
768679	11	Thermoproteus tenax Kra 1	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax
1163730	11	Fervidicoccus fontis Kam940	Archaea	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus	Fervidicoccus fontis
1151117	11	Thermococcus zilligii AN1	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus zilligii
1132509	11	Halococcus hamelinensis 100A6	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus hamelinensis
1183377	11	Pyrococcus sp. ST04	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. ST04
1184251	11	Thermogladius cellulolyticus 1633	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius cellulolyticus
163003	11	Thermococcus cleftensis	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis
1185654	11	Pyrococcus furiosus COM1	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
28892	11	Methanofollis liminatans DSM 4140	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis	Methanofollis liminatans
406552	11	Natrinema sp. J7-2	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema sp. J7-2
1210908	11	Halogranum salarium B-1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogranum	Halogranum salarium
1194088	11	Halorubrum sp. T3	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. T3
1236689	11	Candidatus Methanomethylophilus alvus Mx1201	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus
1204725	11	Methanobacterium formicicum DSM 3637	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
1201294	11	Methanoculleus bourgensis MS2	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus bourgensis
1094980	11	Methanolobus psychrophilus R15	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus
